gene;Column1;alleles_with_growth_0-0.062;alleles_with_growth_0.062-0.12;alleles_with_growth_0.12-0.25;alleles_with_growth_0.25-0.5;alleles_with_growth_0.5-2;alleles_with_growth_2-4;alleles_with_growth_4-8;alleles_with_growth_8-16;alleles_with_growth_16-inf;pvalue;FDR;MeanFC_DIU1;gene_name;defline;description;synonyms;predalgo_protein_localization;PFAM;Panther;KOG;KEGG_ec;KEGG_Orthology;Gene_Ontology_terms;best_arabidopsis_TAIR10_hit_name;best_arabidopsis_TAIR10_hit_symbol;best_arabidopsis_TAIR10_hit_defline
Cre01.g000850;CHLRE_01g000850v5;0;0;0;0;1;0;0;0;0;1;NA;0;CPLD38;Predicted protein;Conserved expressed protein;g20.t1,Cre01.g000850.t1.1;C;PF11460;-;-;-;-;-;AT3G17930.1;-;-
Cre01.g000900;CHLRE_01g000900v5;0;0;0;0;1;0;0;0;0;1;NA;0;CPLD20;Predicted DUF1350 domain containing protein;"Predicted protein of unknown function containing DUF1350 domain; Conserved expressed protein";g21.t1,Cre01.g000900.t1.1;C;PF07082;-;-;-;-;-;AT5G47860.1;-;Protein of unknown function (DUF1350)
Cre01.g000950;CHLRE_01g000950v5;0;0;0;0;1;0;0;0;0;1;NA;0;MFT13;-;-;g22.t1,MFT13;SP;PF07690;PTHR24003:SF275,PTHR24003;-;-;-;GO:0016021,GO:0055085;AT5G64500.1;-;Major facilitator superfamily protein
Cre01.g001100;CHLRE_01g001100v5;0;0;0;1;0;1;0;0;0;0.00696823689731;1;0;-;-;-;g25.t1,Cre01.g001100.t1.1;O;-;-;-;-;-;-;-;-;-
Cre01.g001150;CHLRE_01g001150v5;0;0;0;0;6;1;0;0;0;0.468869732722;1;1;-;-;-;g26.t1;O;-;-;KOG2652;-;-;-;-;-;-
Cre01.g001200;CHLRE_01g001200v5;0;0;0;1;4;0;0;0;0;0.143329201755;1;-1;MAPKKK14;-;-;g27.t1,MAPKKK14;O;PF07714;PTHR23257:SF366,PTHR23257;-;-;-;GO:0004672,GO:0006468;AT3G46920.1;-;Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Cre01.g001250;CHLRE_01g001250v5;0;0;0;0;0;1;0;0;0;0.086434321978;NA;1;-;-;-;g28.t1,Cre01.g001250.t1.1;SP;-;-;-;-;-;-;-;-;-
Cre01.g001300;CHLRE_01g001300v5;0;0;0;0;4;1;0;0;0;0.363630070175;1;1;-;-;-;g29.t1;SP;-;-;-;-;-;-;-;-;-
Cre01.g001350;CHLRE_01g001350v5;0;0;0;0;4;0;0;0;0;1;1;0;ABC1;-;-;g30.t1,Cre01.g001350.t1.1,ABC1;SP;PF00005,PF06472;PTHR11384:SF18,PTHR11384;KOG0060;-;-;GO:0005524,GO:0016887,GO:0006810,GO:0016020;AT1G54350.1;-;ABC transporter family protein
Cre01.g001400;CHLRE_01g001400v5;0;0;0;0;3;1;0;0;0;0.30342871864;1;1;ZMP1;Zinc-metallopeptidase-like protein;"Partial sequence similar to leishmanolysin-like peptidase (peptidase M8 family); neutral zinc metallopeptidases; zinc-binding site; EGF-like region";g31.t1,ZMP1;SP;PF01457;PTHR10942;KOG4462;3.4.24.-;K13539;GO:0004222,GO:0006508,GO:0007155,GO:0008270,GO:0016020;AT5G42620.2;-;"metalloendopeptidases;zinc ion binding"
Cre01.g001450;CHLRE_01g001450v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g32.t1,Cre01.g001450.t1.1;O;-;-;-;-;-;-;-;-;-
Cre01.g001600;CHLRE_01g001600v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g35.t1,Cre01.g001600.t1.1;O;PF00651;PTHR26379,PTHR26379:SF178;-;-;-;GO:0005515;AT5G19330.1;ARIA;ARM repeat protein interacting with  ABF2
Cre01.g001650;CHLRE_01g001650v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g36.t1,Cre01.g001650.t1.1;SP;PF00023;PTHR24198:SF302,PTHR24198;KOG4214;-;-;GO:0005515;AT4G19150.1;-;Ankyrin repeat family protein
Cre01.g001664;CHLRE_01g001664v5;0;0;0;1;1;0;0;0;0;0.0498251317335;1;-1;-;-;-;g38.t1,Cre58.g791600.t1.1,Cre58.g791600.t1.2;O;-;-;-;-;-;-;-;-;-
Cre01.g001671;CHLRE_01g001671v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g39.t1;M;-;-;-;-;-;-;-;-;-
Cre01.g001678;CHLRE_01g001678v5;0;0;0;0;5;0;0;0;0;1;1;0;-;-;-;g40.t1,Cre58.g791550.t2.1, g40.t2,Cre58.g791550.t1.1;O;PF00069;PTHR23257:SF367,PTHR23257;KOG0192;-;-;GO:0004672,GO:0005524,GO:0006468;AT5G57610.1;-;Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Cre01.g001700;CHLRE_01g001700v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g42.t1;M;PF00069;PTHR23257,PTHR23257:SF367;KOG0192;-;-;GO:0004672,GO:0005524,GO:0006468;AT3G46920.1;-;Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Cre01.g001750;CHLRE_01g001750v5;0;0;0;0;1;0;0;0;0;1;NA;0;TIG1;Chloroplast trigger factor;"Involved in protein folding; contains a peptidyl-prolyl cis-trans isomerase (FKBP-type) domain and N- and C-terminal domains involved in ribosome-binding; probably located in chloroplast stroma";g43.t1,Cre01.g001750.t1.1,TIG1;C;PF05697,PF05698;-;-;-;-;GO:0006457,GO:0015031;AT5G55220.1;-;trigger factor type chaperone family protein
Cre01.g001800;CHLRE_01g001800v5;0;0;0;1;6;2;0;0;0;0.0597279693415;1;1;MLCK1;-;-;g44.t1,MLCK1;O;PF00069;PTHR24362,PTHR24362:SF25;KOG0583;2.7.11.1;K08857;GO:0004672,GO:0005524,GO:0006468;AT3G04810.1;ATNEK2,NEK2;NIMA-related kinase 2
Cre01.g001950;CHLRE_01g001950v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g45.t1,Cre01.g001950.t1.1;SP;-;-;-;-;-;-;-;-;-
Cre01.g001983;CHLRE_01g001983v5;0;0;0;0;6;0;0;0;0;1;1;0;-;-;-;g46.t2, g46.t1;O;-;-;-;-;-;-;-;-;-
Cre01.g002050;CHLRE_01g002050v5;0;0;0;1;6;0;0;0;0;0.211453668362;1;-1;APT1;-;-;g47.t1,APT1;SP;PF00328;PTHR11567;KOG3720;-;-;GO:0003993;-;-;-
Cre01.g002100;CHLRE_01g002100v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g48.t1,Cre01.g002100.t1.1;M;PF01753;-;-;-;-;GO:0008270;-;-;-
Cre01.g002150;CHLRE_01g002150v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g49.t1,Cre01.g002150.t1.1;C;-;-;-;-;-;-;-;-;-
Cre01.g002200;CHLRE_01g002200v5;0;0;0;0;1;0;0;0;0;1;NA;0;RPB6;Subunit of DNA-directed RNA polymerase;Putative DNA-directed RNA polymerase subunit, sequence similarity to yeast RNB6 (13-15 kDa);g50.t1,RPB6;O;PF01192;PTHR10773;KOG3405;-;K03014;GO:0003677,GO:0003899,GO:0006351;AT5G51940.1;NRPB6A,NRPD6A,NRPE6A;RNA polymerase Rpb6
Cre01.g002201;CHLRE_01g002201v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g52.t2,Cre01.g002201.t1.1, g52.t1;O;PF04031;PTHR15002;-;-;-;-;AT5G12220.1;-;las1-like family protein
Cre01.g002234;CHLRE_01g002234v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g54.t1,Cre01.g002236.t2.1, g54.t2,Cre01.g002236.t1.2;O;-;-;-;-;-;-;-;-;-
Cre01.g002300;CHLRE_01g002300v5;0;0;0;0;1;0;0;0;0;1;NA;0;CYN19-2,CYN4;Peptidyl-prolyl cis-trans isomerase, cyclophilin-type;"Peptidyl-prolyl cis-trans isomerase (rotamase), cyclophilin type [PMID: 15051864, PMID: 15047905]; identical to AF052206 CYP1 [PMID: 10527429]; cytosolic; similar to At4g38740 (ROC1, AtCYP18-3) and At2g21130 (AtCYP19-2); found in the flagellar proteome [P";g56.t1,Cre01.g002300.t1.1,CYN4;O;PF00160;PTHR11071:SF157,PTHR11071;KOG0865;5.2.1.8;K01802;GO:0003755,GO:0006457;AT2G21130.1;-;Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Cre01.g002350;CHLRE_01g002350v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g57.t1;O;PF00899;PTHR10953:SF29,PTHR10953;KOG2016;-;K04532;GO:0003824;AT1G05180.1;AXR1;NAD(P)-binding Rossmann-fold superfamily protein
Cre01.g002400;CHLRE_01g002400v5;0;0;0;0;2;0;0;0;0;1;1;0;TGL1;-;-;g58.t1,TGL1;O;PF01764;PTHR21493:SF9,PTHR21493;-;-;-;GO:0004806,GO:0006629;AT4G13550.1;-;"triglyceride lipases;triglyceride lipases"
Cre01.g002451;CHLRE_01g002451v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g59.t1;M;PF00168;PTHR10774;-;-;-;GO:0005515;AT5G17980.1;-;C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
Cre01.g002550;CHLRE_01g002550v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g61.t1;M;PF00069;PTHR24356;KOG0598;-;-;GO:0004672,GO:0005524,GO:0006468;AT1G30640.1;-;Protein kinase family protein
Cre01.g002600;CHLRE_01g002600v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g62.t1,Cre01.g002600.t1.1;C;-;-;-;-;-;-;-;-;-
Cre01.g002650;CHLRE_01g002650v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g63.t1,Cre01.g002650.t1.1;O;-;-;-;-;-;-;-;-;-
Cre01.g002700;CHLRE_01g002700v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g64.t1,Cre01.g002700.t1.1;M;PF00400;-;KOG1333;-;-;-;-;-;-
Cre01.g002750;CHLRE_01g002750v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g65.t1,Cre01.g002750.t1.1, g65.t2;M;PF07366;-;-;-;-;-;-;-;-
Cre01.g002787;CHLRE_01g002787v5;0;0;0;0;9;1;0;0;0;0.595008198837;1;1;SRR24;-;-;g66.t1,Cre01.g002800.t1.3,SRR24;O;PF00704,PF00059,PF03762,PF00530;PTHR11177:SF44,PTHR11177;KOG2806;-;-;GO:0004553,GO:0005975,GO:0005488,GO:0030704,GO:0005044,GO:0016020;AT4G19800.1;-;Glycosyl hydrolase family protein with chitinase insertion domain
Cre01.g002861;CHLRE_01g002861v5;0;0;0;1;11;0;0;0;0;0.274231829342;1;-1;SRR24;-;-;g68.t1;O;-;PTHR11177:SF44,PTHR11177;-;-;-;-;-;-;-
Cre01.g003000;CHLRE_01g003000v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g71.t1;O;-;-;-;-;-;-;-;-;-
Cre01.g003100;CHLRE_01g003100v5;0;0;0;0;1;1;0;0;0;0.165395681249;1;1;-;-;-;g73.t2, g73.t1;C;PF00226;PTHR25040,PTHR25040:SF159;-;-;-;GO:0031072;AT2G21510.1;-;DNAJ heat shock N-terminal domain-containing protein
Cre01.g003150;CHLRE_01g003150v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g74.t1,Cre01.g003150.t1.1;M;-;-;-;-;-;-;-;-;-
Cre01.g003250;CHLRE_01g003250v5;0;0;0;0;0;1;0;0;0;0.086434321978;NA;1;TNP1;-;-;g76.t1,TNP1;M;PF07282;PTHR23257,PTHR23257:SF99;-;-;-;-;-;-;-
Cre01.g003300;CHLRE_01g003300v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g77.t1,Cre01.g003300.t1.1;SP;PF01094;-;-;-;-;-;-;-;-
Cre01.g003376;CHLRE_01g003376v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g78.t1;O;PF00249,PF00226;PTHR24078:SF29,PTHR24078;KOG0724;-;K09522;GO:0031072;AT5G06110.1;-;"DnaJ domain ;Myb-like DNA-binding domain"
Cre01.g003463;CHLRE_01g003463v5;0;0;0;0;3;1;0;0;0;0.30342871864;1;1;-;-;-;g80.t1;O;PF01624,PF00488,PF05192,PF05188;PTHR11361:SF35,PTHR11361;KOG0219;-;K08735;GO:0005524,GO:0006298,GO:0030983;AT3G18524.1;ATMSH2,MSH2;MUTS homolog 2
Cre01.g003475;CHLRE_01g003475v5;0;0;0;1;3;0;0;0;0;0.110515444773;1;-1;-;-;-;g81.t1;SP;PF06742,PF06863;-;-;-;-;-;-;-;-
Cre01.g003487;CHLRE_01g003487v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g82.t1;O;PF09736;-;KOG2654;-;K13106;-;AT1G31870.1;-;-
Cre01.g003500;CHLRE_01g003500v5;0;0;0;0;4;0;0;0;0;1;1;0;MSH2;-;-;g83.t1,Cre01.g003500.t1.1;O;-;-;-;-;-;-;AT5G54440.1;AtTRS130,CLUB;CLUB
Cre01.g003508;CHLRE_01g003508v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g84.t1,Cre01.g003519.t1.2;C;-;-;-;-;-;-;-;-;-
Cre01.g003516;CHLRE_01g003516v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g85.t1;M;-;-;-;-;-;-;-;-;-
Cre01.g003524;CHLRE_01g003524v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g86.t1;O;PF00069;PTHR24349;KOG0032;-;-;GO:0004672,GO:0005524,GO:0006468;AT5G12180.1;CPK17;calcium-dependent protein kinase 17
Cre01.g003532;CHLRE_01g003532v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g87.t1;O;-;-;-;-;-;-;-;-;-
Cre01.g003550;CHLRE_01g003550v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g89.t1;C;PF00581;-;KOG1530;-;-;-;AT4G27700.1;-;Rhodanese/Cell cycle control phosphatase superfamily protein
Cre01.g003650;CHLRE_01g003650v5;0;0;0;1;4;0;0;0;0;0.143329201755;1;-1;-;-;-;g92.t2, g92.t1;O;-;-;-;-;-;-;-;-;-
Cre01.g003700;CHLRE_01g003700v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g93.t1,Cre01.g003700.t1.1;M;PF10263;PTHR23099;KOG3854;-;-;-;-;-;-
Cre01.g003751;CHLRE_01g003751v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g94.t1,Cre01.g003750.t1.3;M;PF00520,PF00027;PTHR10217:SF393,PTHR10217;KOG0500;-;-;GO:0005216,GO:0006811,GO:0016020,GO:0055085;AT5G37500.1;GORK;gated outwardly-rectifying K+ channel
Cre01.g003800;CHLRE_01g003800v5;0;0;0;0;3;1;0;0;0;0.30342871864;1;1;-;-;-;g95.t1;M;PF00069;PTHR23257;-;-;-;GO:0004672,GO:0005524,GO:0006468;AT3G06620.1;-;PAS domain-containing protein tyrosine kinase family protein
Cre01.g003950;CHLRE_01g003950v5;0;0;0;0;7;2;0;0;0;0.187673171125;1;2;-;-;-;g99.t2, g99.t1;C;-;PTHR10919:SF179,PTHR10919;-;-;-;-;-;-;-
Cre01.g004000;CHLRE_01g004000v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g100.t1,Cre01.g004000.t1.1;O;PF08855;-;-;-;-;-;-;-;-
Cre01.g004050;CHLRE_01g004050v5;0;0;0;0;5;0;0;0;0;1;1;0;-;-;-;g101.t1,Cre01.g004050.t1.1;M;-;-;-;-;-;-;-;-;-
Cre01.g004124;CHLRE_01g004124v5;0;0;0;0;11;1;0;0;0;0.66197532566;1;1;-;-;-;g102.t2, g102.t1;M;-;PTHR10919:SF179,PTHR10919;-;-;-;-;-;-;-
Cre01.g004157;CHLRE_01g004157v5;0;0;0;0;5;0;0;0;0;1;1;0;-;-;-;g103.t1,Cre01.g004157.t1.1;C;-;PTHR10919:SF179,PTHR10919;-;-;-;-;-;-;-
Cre01.g004300;CHLRE_01g004300v5;0;0;0;0;1;0;0;0;0;1;NA;0;ASNS,ASN1;Asparagine synthase;Asparagine synthase (glutamine-hydrolyzing).  Previously annotated as ASNS;g106.t1,Cre01.g004300.t1.1,ASNS;C;PF00733;PTHR11772;KOG0571;6.3.5.4;K01953;GO:0004066,GO:0006529;AT3G47340.1;ASN1,AT-ASN1,DIN6;glutamine-dependent asparagine synthase 1
Cre01.g004350;CHLRE_01g004350v5;0;0;0;0;2;0;0;0;0;1;1;0;ALIX,HLM1,ROC77;-;-;g107.t1,Cre01.g004350.t1.1,ALIX,HLM1,ROC77;O;PF03097;PTHR23030:SF13,PTHR23030;KOG2220;-;K12200;-;AT1G15130.1;-;Endosomal targeting BRO1-like domain-containing protein
Cre01.g004400;CHLRE_01g004400v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g108.t1,Cre01.g004400.t1.1;SP;-;-;-;-;-;-;-;-;-
Cre01.g004550;CHLRE_01g004550v5;0;0;0;0;2;1;0;0;0;0.237530356347;1;1;FAP190;Flagellar Associated Protein;Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802];g111.t1,Cre01.g004550.t1.1;O;PF00536;PTHR12587;KOG4375;-;-;-;-;-;-
Cre01.g004600;CHLRE_01g004600v5;0;0;0;0;9;0;0;0;0;1;1;0;RWP12;RWP-RK transcription factor;"Putative RWP-RK domain transcription factor [PMID: 15785851]; model is very tentative";g112.t1,RWP12;O;PF02042;-;KOG3866;-;-;-;AT5G53040.1;-;RWP-RK domain-containing protein
Cre01.g004651;CHLRE_01g004651v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g113.t1,Cre01.g004650.t1.2;O;PF00570;PTHR13710:SF17,PTHR13710;-;-;-;GO:0003676,GO:0005622,GO:0006310,GO:0008026;-;-;-
Cre01.g004800;CHLRE_01g004800v5;0;0;0;0;2;1;0;0;0;0.237530356347;1;1;-;-;-;g116.t1,Cre01.g004800.t1.1;M;-;-;-;-;-;-;-;-;-
Cre01.g004850;CHLRE_01g004850v5;0;0;0;0;5;0;0;0;0;1;1;0;TXE1;-;-;g117.t1,TXE1;M;PF07500,PF04851,PF08711;-;KOG1105;-;-;GO:0006351,GO:0003677,GO:0005524,GO:0016787,GO:0005634,GO:0030528;-;-;-
Cre01.g004900;CHLRE_01g004900v5;0;0;0;0;9;3;0;0;0;0.0830558225744;1;3;-;-;-;g118.t1,Cre01.g004900.t1.1;O;PF01965;PTHR11019,PTHR11019:SF30;-;-;-;-;-;-;-
Cre01.g004926;CHLRE_01g004926v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g119.t1;-;-;-;-;-;-;-;-;-;-
Cre01.g004950;CHLRE_01g004950v5;0;0;0;0;5;0;0;0;0;1;1;0;-;-;-;g120.t1;O;PF01965;PTHR11019,PTHR11019:SF30;-;-;-;-;-;-;-
Cre01.g005001;CHLRE_01g005001v5;0;0;0;0;1;0;0;0;0;1;NA;0;CPLD9;-;-;g121.t1,Cre01.g005000.t1.3,CPLD9;M;-;-;-;-;-;-;AT2G38695.1;-;-
Cre01.g005200;CHLRE_01g005200v5;0;0;0;0;3;0;0;0;0;1;1;0;TGL2;-;-;g126.t1,TGL2;SP;PF01764;PTHR21493,PTHR21493:SF9;-;-;-;GO:0004806,GO:0006629;AT4G18550.1;-;alpha/beta-Hydrolases superfamily protein
Cre01.g005300;CHLRE_01g005300v5;0;0;0;0;4;0;0;0;0;1;1;0;-;-;-;g128.t1,Cre01.g005300.t1.1;O;-;-;-;-;-;-;-;-;-
Cre01.g005400;CHLRE_01g005400v5;0;0;0;0;2;0;0;0;0;1;1;0;SDR1;-;-;g130.t1,SDR1;O;PF00106;PTHR24322;KOG0725;-;-;GO:0008152,GO:0016491;AT1G54870.1;-;NAD(P)-binding Rossmann-fold superfamily protein
Cre01.g005500;CHLRE_01g005500v5;0;0;0;0;5;0;0;0;0;1;1;0;-;-;-;g132.t1,Cre01.g005500.t1.1;O;PF02656,PF03105,PF09359;PTHR10783,PTHR10783:SF20;KOG1161;-;-;-;-;-;-
Cre01.g005534;CHLRE_01g005534v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g133.t1,Cre01.g005534.t1.1;C;-;-;-;-;-;-;-;-;-
Cre01.g005543;CHLRE_01g005543v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g134.t1;O;-;-;-;-;-;-;-;-;-
Cre01.g005600;CHLRE_01g005600v5;0;0;0;0;1;0;0;0;0;1;NA;0;FDX8;-;-;g136.t1,Cre01.g005650.t1.2,FDX8;C;PF00111;-;-;-;-;GO:0009055,GO:0051536;-;-;-
Cre01.g005651;CHLRE_01g005651v5;0;0;0;0;2;0;0;0;0;1;1;0;-;-;-;g137.t1;O;-;-;-;-;-;-;-;-;-
Cre01.g005750;CHLRE_01g005750v5;0;0;0;0;3;0;0;0;0;1;1;0;-;-;-;g139.t1;SP;-;PTHR10913,PTHR10913:SF5;-;-;-;-;-;-;-
Cre01.g005813;CHLRE_01g005813v5;0;0;0;0;7;1;0;0;0;0.514769191578;1;1;-;-;-;g140.t1,Cre01.g005813.t1.1;O;-;-;-;-;-;-;-;-;-
Cre01.g005900;CHLRE_01g005900v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g142.t1;C;PF04379;PTHR14289:SF10,PTHR14289;-;-;K10290;-;AT1G06110.1;SKIP16;SKP1/ASK-interacting protein 16
Cre01.g005950;CHLRE_01g005950v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g143.t1,Cre01.g005950.t1.1;C;-;-;-;-;-;-;AT1G15140.1;-;FAD/NAD(P)-binding oxidoreductase
Cre01.g006000;CHLRE_01g006000v5;0;0;0;0;1;0;0;0;0;1;NA;0;-;-;-;g144.t1;M;-;-;-;-;-;-;-;-;-
Cre01.g006050;CHLRE_01g006050v5;0;0;0;0;1;0;0;0;0;1;NA;0;LF3;Long-flagella mutant LF3 protein;"LF3 is involved in controlling flagellar length. Null mutants (ulf1 and ulf3) have unequal length flagella; hypomorphic alleles have long flagella. gi:37778331";g145.t1,LF3;O;-;-;-;-;-;-;-;-;-
Cre01.g006150;CHLRE_01g006150v5;0;0;0;1;5;0;0;0;0;0.177112892037;1;-1;EFG9,PRFC1;Translation elongation factor related to peptide-chain release factor;"Translation elongation factor related to peptide-chain release factor RF3, prokaryotic type; probably organelle-targeted; binds GTP; similarity to EfTu elongation factor.  Previously annotated as PRFC1";g148.t1,EFG9,PRFC1;O;PF00009,PF03144;PTHR23115:SF85,PTHR23115;-;-;-;GO:0003924,GO:0005525;AT1G62750.1;ATSCO1,ATSCO1/CPEF-G,SCO1;Translation elongation factor EFG/EF2 protein
Cre01.g006800;CHLRE_01g006800v5;0;0;0;0;1;0;0;0;0;1;NA;0;GTR18,GPI1;Phosphatidylinositol N-acetylglucosaminyltransferase (PIG-A);Phosphatidylinositol N-acetylglucosaminyltransferase (PIG-A) and glycosyl transferase.  Previously annotated as GTR18;g178.t1,GPI1,GTR18;O;PF00534,PF08288;PTHR12526,PTHR12526:SF37;KOG1111;2.4.1.198;K03857;GO:0009058,GO:0006506;AT3G45100.1;SETH2;UDP-Glycosyltransferase superfamily protein
